pmcid,bucket,title,n_sentences,n_chunks,n_text_elements,n_tables,n_figures,n_disease_entities,n_biomarker_entities,n_gene_entities,n_method_entities,n_outcome_entities,normalized_hardness,absolute_hardness,selection_reason
PMC11863821_main,related,,251,26,32,6,6,133,0,223,69,106,,,"ILP related: quality=1.000, length_penalty=0.717"
PMC11863883_main,related,,329,33,115,1,5,162,0,176,85,111,,,"ILP related: quality=1.000, length_penalty=0.940"
PMC11863715_main,related,,257,26,55,7,5,146,7,167,73,92,,,"ILP related: quality=1.200, length_penalty=0.734"
PMC11863817_main,related,,264,27,53,1,6,119,0,202,65,140,,,"ILP related: quality=1.000, length_penalty=0.754"
PMC12221370_main,related,,302,31,48,5,3,157,1,169,74,109,,,"ILP related: quality=1.200, length_penalty=0.863"
PMC11863710_main,related,,259,26,45,1,4,131,0,187,56,89,,,"ILP related: quality=1.000, length_penalty=0.740"
PMC12205811_main,related,,185,19,44,3,2,106,3,184,54,95,,,"ILP related: quality=1.200, length_penalty=0.529"
PMC11863815_main,related,,221,23,50,3,3,149,0,108,44,104,,,"ILP related: quality=1.000, length_penalty=0.631"
PMC12308030_main,related,,293,30,86,8,5,134,1,130,53,127,,,"ILP related: quality=1.200, length_penalty=0.837"
PMC12452718_dermatopathology-12-00031,related,,281,29,62,6,0,128,3,130,40,94,,,"ILP related: quality=1.200, length_penalty=0.803"
PMC12008596_main,related,,194,20,17,1,4,124,1,115,41,88,,,"ILP related: quality=1.200, length_penalty=0.554"
PMC11863880_main,related,,259,26,70,6,4,142,0,107,58,118,,,"ILP related: quality=1.000, length_penalty=0.740"
PMC12281373_main,related,,200,20,31,1,3,113,1,120,50,106,,,"ILP related: quality=1.200, length_penalty=0.571"
PMC11863823_main,related,,220,22,40,1,4,103,0,130,70,115,,,"ILP related: quality=1.000, length_penalty=0.629"
PMC11863816_main,related,,214,22,44,3,4,125,0,106,36,81,,,"ILP related: quality=1.000, length_penalty=0.611"
