pmcid,n_chunk_decisions,n_polarity_conflict,polarity_conflict_rate
PMC10100421_HIS-82-393,17,0,0.0
PMC10108312_HIS-82-162,15,0,0.0
PMC11649512_HIS-86-294,15,0,0.0
PMC11649514_HIS-86-204,15,0,0.0
PMC12605734_HIS-87-904,16,0,0.0
PMC2253716_his0052-0355,16,0,0.0
PMC3564399_his0057-0212,11,0,0.0
PMC4282325_his0064-0567,19,0,0.0
PMC4282326_his0065-0429,11,0,0.0
PMC4329418_his0066-0409,15,0,0.0
PMC6635746_HIS-73-68,12,0,0.0
PMC6850320_HIS-74-917,16,0,0.0
PMC7539961_HIS-77-579,17,0,0.0
PMC7540531_HIS-77-460,16,0,0.0
PMC9826086_HIS-81-786,19,0,0.0
