case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC10108145_CYT-34-165|604,4.5,6,6,6,4.5,6,6,6
PMC10108145_CYT-34-165|605,0.0,3,0,0,0.0,3,0,0
PMC10108145_CYT-34-165|606,13.0,14,15,13,13.0,14,15,13
PMC10108145_CYT-34-165|607,18.0,22,19,19,18.0,22,19,19
PMC10108145_CYT-34-165|608,3.0,6,4,4,3.0,6,4,4
PMC10108145_CYT-34-165|609,3.5,7,11,7,7.5,14,11,11
PMC10108145_CYT-34-165|610,4.0,5,4,4,4.0,5,4,4
PMC10108145_CYT-34-165|611,2.5,6,5,5,2.5,6,5,5
PMC10108145_CYT-34-165|612,1.5,4,2,2,1.5,4,2,2
PMC10108145_CYT-34-165|613,2.5,4,3,3,2.5,4,3,3
PMC11632165_CYT-36-99|2610,0.0,0,0,0,0.0,0,0,0
PMC11632165_CYT-36-99|2612,3.0,3,6,3,3.0,3,6,3
PMC11632165_CYT-36-99|2614,5.0,5,5,5,5.0,5,5,5
PMC11632165_CYT-36-99|2615,0.0,0,2,0,0.0,0,2,0
PMC11632165_CYT-36-99|2616,4.5,8,5,5,4.5,8,5,5
PMC11632165_CYT-36-99|2617,1.5,6,3,3,0.0,0,3,0
PMC11632165_CYT-36-99|2618,5.0,6,8,6,5.0,6,8,6
PMC11632165_CYT-36-99|2619,1.0,1,3,1,1.0,1,3,1
PMC11632165_CYT-36-99|2620,0.0,0,3,0,0.0,0,3,0
PMC11632165_CYT-36-99|2621,1.0,2,2,2,1.5,2,2,2
PMC11632165_CYT-36-99|2622,2.5,3,3,3,2.5,3,3,3
PMC11649516_HIS-86-236|3421,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3423,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3427,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3434,10.0,17,11,11,10.0,17,11,11
PMC11649516_HIS-86-236|3439,10.0,11,11,10,10.0,11,11,10
PMC11649516_HIS-86-236|3444,1.0,3,1,1,1.0,3,1,1
PMC11649516_HIS-86-236|3448,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3449,0.0,14,0,0,0.0,14,0,0
PMC11649516_HIS-86-236|3451,8.0,8,8,8,8.0,8,8,8
PMC11649516_HIS-86-236|3452,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3458,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3460,0.0,0,0,0,0.0,0,0,0
PMC11649516_HIS-86-236|3462,16.0,18,17,17,16.0,18,17,17
PMC11649516_HIS-86-236|3465,9.5,12,11,11,9.5,12,11,11
PMC11649516_HIS-86-236|3471,9.0,10,10,10,9.0,10,10,10
PMC11649516_HIS-86-236|3472,11.0,12,11,11,11.0,12,11,11
PMC11649516_HIS-86-236|3473,3.0,6,6,6,3.0,6,6,6
PMC11649516_HIS-86-236|3475,2.5,4,4,3,2.5,4,4,3
PMC11649516_HIS-86-236|3476,4.0,4,4,4,4.0,4,4,4
PMC11649516_HIS-86-236|3478,3.5,6,5,5,3.5,6,5,5
PMC11649516_HIS-86-236|3479,8.0,9,9,8,8.0,9,9,8
PMC11649516_HIS-86-236|3483,8.0,10,10,10,8.0,10,10,10
PMC11649516_HIS-86-236|3484,5.0,6,5,5,5.0,6,5,5
PMC11649516_HIS-86-236|3485,6.0,13,10,10,6.0,13,10,10
PMC11649516_HIS-86-236|3487,0.0,3,0,0,0.0,3,0,0
PMC11707492_HIS-86-341|3736,1.5,4,3,3,3.0,4,3,3
PMC11707492_HIS-86-341|3738,5.5,8,8,8,5.5,8,8,8
PMC11707492_HIS-86-341|3740,7.5,11,9,9,7.5,11,9,9
PMC11707492_HIS-86-341|3743,4.0,9,5,5,4.0,9,5,5
PMC11707492_HIS-86-341|3744,0.0,0,0,0,0.0,0,0,0
PMC11707492_HIS-86-341|3745,4.5,8,5,5,4.5,8,5,5
PMC11707492_HIS-86-341|3748,5.0,7,5,5,5.0,7,5,5
PMC11707492_HIS-86-341|3750,13.0,23,17,17,13.0,23,17,17
PMC11707492_HIS-86-341|3751,5.0,5,6,5,5.0,5,6,5
PMC11707492_HIS-86-341|3752,8.0,11,9,9,8.0,11,9,9
PMC11707492_HIS-86-341|3753,3.0,5,3,3,3.0,5,3,3
PMC11707492_HIS-86-341|3754,7.0,10,8,8,7.0,10,8,8
PMC11707492_HIS-86-341|3755,5.0,7,5,5,5.0,7,5,5
PMC11707492_HIS-86-341|3756,1.5,6,2,2,1.5,6,2,2
PMC11707492_HIS-86-341|3758,6.5,8,7,7,6.5,8,7,7
PMC11707492_HIS-86-341|3759,5.0,7,7,7,5.0,7,7,7
PMC11707492_HIS-86-341|3760,10.0,12,12,12,10.0,12,12,12
PMC11707492_HIS-86-341|3761,5.5,12,8,8,5.5,12,8,8
PMC11707492_HIS-86-341|3762,6.0,11,9,8,6.0,11,9,8
PMC11863696_main|4625,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4626,0.0,0,2,0,1.0,2,2,2
PMC11863696_main|4627,3.0,8,4,4,3.0,8,4,4
PMC11863696_main|4628,1.5,3,4,3,1.5,3,4,3
PMC11863696_main|4630,2.5,7,4,4,2.5,7,4,4
PMC11863696_main|4631,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4632,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4633,0.0,4,0,0,0.0,4,0,0
PMC11863696_main|4638,0.0,7,0,0,0.0,7,0,0
PMC11863696_main|4639,2.5,3,5,3,2.5,3,5,3
PMC11863696_main|4640,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4641,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4642,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4646,2.5,3,3,3,2.5,3,3,3
PMC11863696_main|4647,4.0,4,5,4,4.0,4,5,4
PMC11863696_main|4651,2.0,4,2,2,2.0,4,2,2
PMC11863696_main|4652,4.0,8,6,6,4.0,8,6,6
PMC11863696_main|4653,2.5,5,3,3,2.5,5,3,3
PMC11863696_main|4654,0.0,0,0,0,0.0,0,0,0
PMC11982779_CYT-36-285|7827,8.0,10,10,9,8.0,10,10,9
PMC11982779_CYT-36-285|7829,0.0,9,0,0,0.0,9,0,0
PMC11982779_CYT-36-285|7830,0.0,3,0,0,0.0,3,0,0
