pmcid,n_chunks_total,n_chunks_accepted,n_chunks_rejected,n_chunks_no_data,n_chunks_l1,n_chunks_l2,n_chunks_l3,n_chunks_polarity_conflict,n_findings_pre_grounding,n_findings_post_grounding,grounding_retention_rate
PMC10100421_HIS-82-393,34,34,0,0,0,0,34,3,102,92,0.902
PMC10108312_HIS-82-162,33,33,0,0,2,0,31,1,160,142,0.8875
PMC11649512_HIS-86-294,18,18,0,0,0,1,17,1,151,141,0.9338
PMC11649514_HIS-86-204,25,25,0,0,0,0,25,0,83,75,0.9036
PMC12605734_HIS-87-904,24,24,0,0,0,0,24,0,192,160,0.8333
PMC2253716_his0052-0355,29,29,0,0,1,0,28,2,166,140,0.8434
PMC3564399_his0057-0212,27,27,0,0,1,1,25,0,101,93,0.9208
PMC4282325_his0064-0567,32,32,0,0,0,0,32,1,157,136,0.8662
PMC4282326_his0065-0429,14,14,0,0,2,0,12,0,39,33,0.8462
PMC4329418_his0066-0409,17,17,0,0,1,0,16,0,83,73,0.8795
PMC6635746_HIS-73-68,22,22,0,0,1,1,20,0,131,109,0.8321
PMC6850320_HIS-74-917,29,29,0,0,0,1,28,0,139,126,0.9065
PMC7539961_HIS-77-579,21,21,0,0,0,0,21,1,99,83,0.8384
PMC7540531_HIS-77-460,26,26,0,0,1,0,25,4,120,112,0.9333
PMC9826086_HIS-81-786,31,31,0,0,1,1,29,2,158,146,0.9241
