pmcid,n_final_rules,n_with_verbatim,n_with_text_element_id,n_with_grounding,n_with_full_provenance_triple
PMC10100421_HIS-82-393,123,123,123,123,123
PMC10108312_HIS-82-162,161,161,161,161,161
PMC11649512_HIS-86-294,66,66,66,66,66
PMC11649514_HIS-86-204,96,96,96,96,96
PMC12605734_HIS-87-904,129,129,129,129,129
PMC2253716_his0052-0355,140,140,140,140,140
PMC3564399_his0057-0212,97,97,97,97,97
PMC4282325_his0064-0567,141,141,141,141,141
PMC4282326_his0065-0429,39,39,39,39,39
PMC4329418_his0066-0409,125,125,125,125,125
PMC6635746_HIS-73-68,144,144,144,144,144
PMC6850320_HIS-74-917,80,80,80,80,80
PMC7539961_HIS-77-579,125,125,125,125,125
PMC7540531_HIS-77-460,118,118,118,118,118
PMC9826086_HIS-81-786,163,163,163,163,163
