pmcid,map_total,grounding_dropped,kept_after_grounding,grounding_threshold_used,retention_rate
PMC10100421_HIS-82-393,146,11,135,0.5,0.9247
PMC10108312_HIS-82-162,177,7,170,0.5,0.9605
PMC11649512_HIS-86-294,158,84,74,0.5,0.4684
PMC11649514_HIS-86-204,112,4,108,0.5,0.9643
PMC12605734_HIS-87-904,210,64,146,0.5,0.6952
PMC2253716_his0052-0355,183,23,160,0.5,0.8743
PMC3564399_his0057-0212,112,14,98,0.5,0.875
PMC4282325_his0064-0567,171,15,156,0.5,0.9123
PMC4282326_his0065-0429,46,3,43,0.5,0.9348
PMC4329418_his0066-0409,162,23,139,0.5,0.858
PMC6635746_HIS-73-68,167,15,152,0.5,0.9102
PMC6850320_HIS-74-917,147,53,94,0.5,0.6395
PMC7539961_HIS-77-579,161,15,146,0.5,0.9068
PMC7540531_HIS-77-460,147,18,129,0.5,0.8776
PMC9826086_HIS-81-786,195,22,173,0.5,0.8872
