case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC10100421_HIS-82-393|618,0.0,0,0,0,0.0,0,0,0
PMC10100421_HIS-82-393|621,3.0,4,3,3,3.0,4,3,3
PMC10100421_HIS-82-393|623,5.0,7,7,7,5.0,7,7,7
PMC10100421_HIS-82-393|625,9.0,10,10,10,9.0,10,10,10
PMC10100421_HIS-82-393|626,3.0,3,4,3,3.0,3,4,3
PMC10100421_HIS-82-393|628,2.0,3,2,2,2.0,3,2,2
PMC10100421_HIS-82-393|629,2.0,3,5,3,2.0,3,5,3
PMC10100421_HIS-82-393|630,0.0,4,0,0,0.0,4,0,0
PMC10100421_HIS-82-393|632,0.0,0,0,0,0.0,0,0,0
PMC10100421_HIS-82-393|640,0.0,0,2,0,0.0,0,2,0
PMC10100421_HIS-82-393|641,0.0,3,0,0,0.0,3,0,0
PMC10100421_HIS-82-393|643,0.0,2,0,0,0.0,2,0,0
PMC10100421_HIS-82-393|647,0.0,0,0,0,0.0,0,0,0
PMC10100421_HIS-82-393|649,0.5,1,1,1,0.5,1,1,1
PMC10100421_HIS-82-393|650,0.0,0,0,0,0.0,0,0,0
PMC10100421_HIS-82-393|653,0.0,0,0,0,0.0,0,0,0
PMC10100421_HIS-82-393|654,2.5,4,4,4,2.5,4,4,4
PMC10100421_HIS-82-393|656,1.5,3,2,2,1.5,3,2,2
PMC10100421_HIS-82-393|661,1.5,2,2,2,1.5,2,2,2
PMC10100421_HIS-82-393|662,0.0,0,0,0,0.0,0,0,0
PMC10100421_HIS-82-393|666,3.0,3,3,3,3.0,3,3,3
PMC10100421_HIS-82-393|669,2.5,3,3,3,2.5,3,3,3
PMC10100421_HIS-82-393|670,7.0,8,7,7,7.0,8,7,7
PMC10100421_HIS-82-393|674,3.0,3,3,3,3.0,3,3,3
PMC10100421_HIS-82-393|675,4.0,6,5,5,4.0,6,5,5
PMC10100421_HIS-82-393|676,3.0,3,4,3,3.0,3,4,3
PMC10100421_HIS-82-393|677,1.0,2,2,2,1.0,2,2,2
PMC10100421_HIS-82-393|682,0.0,0,2,0,0.0,0,2,0
PMC10100421_HIS-82-393|686,1.0,2,2,2,1.0,2,2,2
PMC10100421_HIS-82-393|687,3.5,6,6,6,3.5,6,6,6
PMC10100421_HIS-82-393|688,5.0,6,5,5,5.0,6,5,5
PMC10100421_HIS-82-393|689,2.5,5,7,5,2.5,5,7,5
PMC10100421_HIS-82-393|691,2.0,6,3,3,2.0,6,3,3
PMC10100421_HIS-82-393|693,0.0,0,0,0,0.0,0,0,0
PMC10108312_HIS-82-162|1028,9.5,12,12,11,9.5,12,12,11
PMC10108312_HIS-82-162|1029,0.0,2,0,0,0.0,2,0,0
PMC10108312_HIS-82-162|1034,3.0,6,5,5,3.0,6,5,5
PMC10108312_HIS-82-162|1036,0.0,0,0,0,0.0,0,0,0
PMC10108312_HIS-82-162|1040,0.0,0,0,0,0.0,0,0,0
PMC10108312_HIS-82-162|1041,0.0,6,0,0,0.0,6,0,0
PMC10108312_HIS-82-162|1044,4.5,5,5,5,4.5,5,5,5
PMC10108312_HIS-82-162|1045,2.0,4,2,2,2.0,4,2,2
PMC10108312_HIS-82-162|1046,5.0,5,6,5,5.0,5,6,5
PMC10108312_HIS-82-162|1047,4.0,4,5,4,4.0,4,5,4
PMC10108312_HIS-82-162|1048,0.0,0,2,0,0.0,0,2,0
PMC10108312_HIS-82-162|1049,2.0,6,4,4,2.0,6,4,4
PMC10108312_HIS-82-162|1050,5.0,6,6,6,5.0,6,6,6
PMC10108312_HIS-82-162|1052,5.0,5,7,5,5.0,5,7,5
PMC10108312_HIS-82-162|1053,4.5,7,6,6,4.5,7,6,6
PMC10108312_HIS-82-162|1054,2.5,3,3,3,2.5,3,3,3
PMC10108312_HIS-82-162|1055,3.0,4,4,4,3.0,4,4,4
PMC10108312_HIS-82-162|1056,4.5,6,14,6,4.5,6,14,6
PMC10108312_HIS-82-162|1059,0.0,0,0,0,0.0,0,0,0
PMC10108312_HIS-82-162|1060,9.5,11,10,10,9.5,11,10,10
PMC10108312_HIS-82-162|1062,1.5,2,3,2,3.0,3,3,3
PMC10108312_HIS-82-162|1063,3.5,7,5,5,3.5,7,5,5
PMC10108312_HIS-82-162|1064,6.5,8,8,8,6.5,8,8,8
PMC10108312_HIS-82-162|1065,4.0,4,5,4,3.5,7,5,5
PMC10108312_HIS-82-162|1067,3.5,6,7,6,3.5,6,7,6
PMC10108312_HIS-82-162|1068,4.0,5,4,4,4.0,5,4,4
PMC10108312_HIS-82-162|1072,5.0,5,5,5,5.0,5,5,5
PMC10108312_HIS-82-162|1073,0.0,4,0,0,0.0,4,0,0
PMC10108312_HIS-82-162|1075,6.0,6,11,6,6.0,6,11,6
PMC10108312_HIS-82-162|1076,1.5,2,3,2,1.5,2,3,2
PMC10108312_HIS-82-162|1077,1.5,5,3,3,1.5,5,3,3
PMC10108312_HIS-82-162|1078,8.5,10,9,9,8.5,10,9,9
PMC10108312_HIS-82-162|1079,3.0,4,3,3,3.0,4,3,3
PMC11649512_HIS-86-294|3532,0.0,0,0,0,0.0,0,0,0
PMC11649512_HIS-86-294|3534,3.0,4,8,4,3.0,4,8,4
PMC11649512_HIS-86-294|3536,9.5,12,15,12,9.5,12,15,12
PMC11649512_HIS-86-294|3539,9.5,11,14,11,9.5,11,14,11
PMC11649512_HIS-86-294|3541,17.5,26,28,25,17.5,26,28,25
PMC11649512_HIS-86-294|3542,23.0,26,24,24,23.0,26,24,24
PMC11649512_HIS-86-294|3543,8.0,8,8,8,8.0,8,8,8
PMC11649512_HIS-86-294|3544,5.0,5,5,5,5.0,5,5,5
PMC11649512_HIS-86-294|3545,18.5,25,23,23,18.0,26,23,23
PMC11649512_HIS-86-294|3546,13.5,17,16,16,13.5,17,16,16
PMC11649512_HIS-86-294|3547,4.0,5,5,5,4.0,5,5,5
PMC11649512_HIS-86-294|3549,10.5,12,14,12,10.5,12,14,12
PMC11649514_HIS-86-204|3554,0.0,0,0,0,0.0,0,0,0
PMC11649514_HIS-86-204|3556,1.0,3,2,2,1.0,3,2,2
PMC11649514_HIS-86-204|3557,1.5,3,3,3,1.5,3,3,3
